"Time","All machines","machine69","machine70"
2024-04-17 21:58:45,831347552,522621549,308725891
2024-04-17 21:59:00,831350345,522622836,308727398
2024-04-17 21:59:15,844318538,522623964,308728494
2024-04-17 21:59:30,844322617,522625092,308730077
2024-04-17 21:59:45,844326621,522626160,308731331
2024-04-17 22:00:00,844330213,522627270,308732742
2024-04-17 22:00:15,844339428,522628492,308736919
2024-04-17 22:00:30,844425473,522663766,308767647
2024-04-17 22:00:45,844518150,522706074,308797123
2024-04-17 22:01:00,844603843,522741124,308820399
2024-04-17 22:01:15,844690707,522780426,308847805
2024-04-17 22:01:30,844783493,522821091,308874808
2024-04-17 22:01:45,844878940,522861962,308910000
2024-04-17 22:02:00,844971140,522903362,308939259
2024-04-17 22:02:15,845063624,522942149,308968786
2024-04-17 22:02:30,845158066,522984709,308998673
2024-04-17 22:02:45,845256583,523025684,309029285
2024-04-17 22:03:00,845345537,523065870,309058973
2024-04-17 22:03:15,845441568,523106114,309085128
2024-04-17 22:03:30,845534684,523146682,309116998
2024-04-17 22:03:45,845627706,523188055,309147862
2024-04-17 22:04:00,845725326,523229602,309176888
2024-04-17 22:04:15,845817030,523270082,309202520
