"Time","All machines","machine69","machine70"
2024-04-17 21:59:15,0.955,0.343,0.365
2024-04-17 21:59:30,0.958,0.343,0.365
2024-04-17 21:59:45,0.961,0.344,0.367
2024-04-17 22:00:00,0.964,0.344,0.371
2024-04-17 22:00:15,0.958,0.344,0.349
2024-04-17 22:00:30,1.08,0.402,0.393
2024-04-17 22:00:45,1.19,0.439,0.426
2024-04-17 22:01:00,1.10,0.294,0.264
2024-04-17 22:01:15,0.967,0.296,0.291
2024-04-17 22:01:30,1.05,0.323,0.320
2024-04-17 22:01:45,1.15,0.360,0.352
2024-04-17 22:02:00,1.15,0.362,0.359
2024-04-17 22:02:15,1.24,0.389,0.390
2024-04-17 22:02:30,1.32,0.427,0.402
2024-04-17 22:02:45,1.36,0.430,0.431
2024-04-17 22:03:00,1.47,0.465,0.468
2024-04-17 22:03:15,1.54,0.506,0.471
2024-04-17 22:03:30,1.60,0.503,0.503
2024-04-17 22:03:45,1.69,0.543,0.547
2024-04-17 22:04:00,1.74,0.547,0.556
2024-04-17 22:04:15,1.81,0.560,0.585
