"Time","Total","Peers","Orderers"
2024-04-18 11:07:00,7.28,6.13,1.15
2024-04-18 11:07:15,7.09,5.99,1.09
2024-04-18 11:07:30,7.18,6.07,1.11
2024-04-18 11:07:45,5.85,4.84,1.02
2024-04-18 11:08:00,6.15,5.05,1.09
2024-04-18 11:08:15,29.2,25.1,4.16
2024-04-18 11:08:30,56.7,49.0,7.75
2024-04-18 11:08:45,84.9,73.7,11.2
2024-04-18 11:09:00,107,92.7,14.0
2024-04-18 11:09:15,107,93.2,13.9
2024-04-18 11:09:30,106,92.7,13.8
2024-04-18 11:09:45,107,93.0,13.9
2024-04-18 11:10:00,108,93.7,13.8
2024-04-18 11:10:15,106,92.2,13.9
2024-04-18 11:10:30,105,91.5,13.8
2024-04-18 11:10:45,103,89.7,13.6
2024-04-18 11:11:00,102,88.8,13.3
2024-04-18 11:11:15,102,89.2,13.3
2024-04-18 11:11:30,101,88.4,13.0
2024-04-18 11:11:45,101,88.1,12.9
2024-04-18 11:12:00,101,87.6,13.0
