"Time","All machines","machine69","machine70"
2024-04-18 11:07:00,823,1244,0
2024-04-18 11:07:15,7061,7109,0
2024-04-18 11:07:30,7024,7084,0
2024-04-18 11:07:45,7003,6805,0
2024-04-18 11:08:00,3556,3003,0
2024-04-18 11:08:15,28.3,28.5,0
2024-04-18 11:08:30,44.4,44.9,0
2024-04-18 11:08:45,66.5,68.8,0
2024-04-18 11:09:00,49.8,50.7,0
2024-04-18 11:09:15,38.0,38.2,0
2024-04-18 11:09:30,27.3,27.1,0
2024-04-18 11:09:45,5.48,5.48,0
2024-04-18 11:10:00,5.46,5.42,0
2024-04-18 11:10:15,17.4,17.3,0
2024-04-18 11:10:30,33.9,33.9,0
2024-04-18 11:10:45,34.1,33.8,0
2024-04-18 11:11:00,34.8,35.0,0
2024-04-18 11:11:15,22.7,22.7,0
2024-04-18 11:11:30,1.09,1.10,0
2024-04-18 11:11:45,24.2,23.9,0
2024-04-18 11:12:00,40.9,40.0,0
