"Time","Total","Peers","Orderers"
2024-04-17 22:41:00,0.305,0.301,0.00428
2024-04-17 22:41:15,0.00207,0.00105,0.00102
2024-04-17 22:41:30,0.00207,0.00105,0.00102
2024-04-17 22:41:45,0.00207,0.00105,0.00102
2024-04-17 22:42:00,0.00207,0.00105,0.00102
2024-04-17 22:42:15,0.00274,0.00139,0.00135
2024-04-17 22:42:30,0.00274,0.00139,0.00135
2024-04-17 22:42:45,0.00344,0.00173,0.00171
2024-04-17 22:43:00,0.00344,0.00173,0.00171
2024-04-17 22:43:15,0.00411,0.00209,0.00202
2024-04-17 22:43:30,0.00411,0.00209,0.00202
2024-04-17 22:43:45,0.00412,0.00210,0.00202
2024-04-17 22:44:00,0.00412,0.00210,0.00202
2024-04-17 22:44:15,0.0217,0.0182,0.00356
2024-04-17 22:44:30,0.0217,0.0182,0.00356
2024-04-17 22:44:45,0.0359,0.0320,0.00393
2024-04-17 22:45:00,0.0352,0.0316,0.00358
2024-04-17 22:45:15,0.0956,0.0869,0.00872
2024-04-17 22:45:30,0.0956,0.0869,0.00872
2024-04-17 22:45:45,0.113,0.103,0.00916
2024-04-17 22:46:00,0.113,0.103,0.00916
2024-04-17 22:46:15,0.172,0.157,0.0147
2024-04-17 22:46:30,0.172,0.157,0.0147
2024-04-17 22:46:45,0.188,0.173,0.0151
2024-04-17 22:47:00,0.188,0.173,0.0151
2024-04-17 22:47:15,0.247,0.227,0.0206
2024-04-17 22:47:30,0.247,0.227,0.0206
2024-04-17 22:47:45,0.264,0.243,0.0210
