"Time","All machines","machine69","machine70"
2024-04-17 22:41:00,1119168319,507031673,597938031
2024-04-17 22:41:15,812936281,507031673,298829358
2024-04-17 22:41:30,812936281,507031673,298829358
2024-04-17 22:41:45,812936281,507031673,298829358
2024-04-17 22:42:00,812936281,507031673,298829358
2024-04-17 22:42:15,1319968013,1014063371,298829358
2024-04-17 22:42:30,1319969049,1014064395,298829358
2024-04-17 22:42:45,1618800152,1014065452,597659678
2024-04-17 22:43:00,1618802870,1014066620,597660699
2024-04-17 22:43:15,1625885494,1014067888,597662669
2024-04-17 22:43:30,1625889652,1014069103,597664072
2024-04-17 22:43:45,1625896943,1014070656,597668987
2024-04-17 22:44:00,1625952516,1014104382,597684173
2024-04-17 22:44:15,1626045941,1014138452,597724443
2024-04-17 22:44:30,1626121694,1014173101,597749925
2024-04-17 22:44:45,1626197791,1014208118,597777875
2024-04-17 22:45:00,1119246233,507212697,597804351
2024-04-17 22:45:15,813415909,507255418,299002120
2024-04-17 22:45:30,813489499,507284167,299024156
2024-04-17 22:45:45,813567210,507321105,299053608
2024-04-17 22:46:00,813644647,507355299,299081528
2024-04-17 22:46:15,813725900,507392871,299108015
2024-04-17 22:46:30,813801647,507427927,299133997
2024-04-17 22:46:45,813874306,507463249,299161462
2024-04-17 22:47:00,813952315,507497969,299187587
2024-04-17 22:47:15,814024902,507532278,299213111
2024-04-17 22:47:30,814102650,507568241,299238923
2024-04-17 22:47:45,814178133,507602062,299261449
