"Time","Total","Peers","Orderers","Couchsdb"
2024-04-17 22:41:00,1602,1308,295,0
2024-04-17 22:42:15,843,722,122,0
2024-04-17 22:42:30,1984,1646,338,0
2024-04-17 22:42:45,4017,3226,767,24.5
2024-04-17 22:43:00,6700,5386,1291,22.8
2024-04-17 22:43:15,9337,7483,1792,61.5
2024-04-17 22:43:30,12631,10300,2285,46.3
2024-04-17 22:43:45,18911,15450,3194,267
2024-04-17 22:44:00,91546,74208,13744,3594
2024-04-17 22:44:15,239243,194560,33801,10882
2024-04-17 22:44:30,356266,290653,49186,16426
2024-04-17 22:44:45,424142,345830,57705,20606
2024-04-17 22:45:00,447941,364755,62148,21038
2024-04-17 22:45:15,429613,349850,59063,20699
2024-04-17 22:45:30,437941,354996,62071,20874
2024-04-17 22:45:45,432504,350859,60808,20836
2024-04-17 22:46:00,422997,341802,60811,20384
2024-04-17 22:46:15,430959,349575,60508,20876
2024-04-17 22:46:30,429924,349200,60187,20537
2024-04-17 22:46:45,428549,347739,60003,20807
2024-04-17 22:47:00,429153,348299,59987,20867
2024-04-17 22:47:15,421758,341716,59707,20335
2024-04-17 22:47:30,425691,345289,59549,20853
2024-04-17 22:47:45,428447,348064,59726,20657
