"Time","Total","Peers","Orderers","Couchsdb"
2024-04-17 22:41:00,1680,1402,278,0
2024-04-17 22:42:15,791,675,117,0
2024-04-17 22:42:30,1816,1506,310,0
2024-04-17 22:42:45,3780,3046,715,19.6
2024-04-17 22:43:00,6437,5204,1213,19.2
2024-04-17 22:43:15,9306,7554,1699,52.8
2024-04-17 22:43:30,12396,10181,2179,36.4
2024-04-17 22:43:45,18620,15307,3106,208
2024-04-17 22:44:00,74987,57874,14300,2813
2024-04-17 22:44:15,176218,133042,34516,8661
2024-04-17 22:44:30,255685,193456,49133,13096
2024-04-17 22:44:45,301704,228666,56970,16068
2024-04-17 22:45:00,312118,236330,59434,16354
2024-04-17 22:45:15,305330,232990,56621,15719
2024-04-17 22:45:30,309837,235113,58976,15748
2024-04-17 22:45:45,307598,233878,58119,15601
2024-04-17 22:46:00,303695,229762,58555,15378
2024-04-17 22:46:15,307552,233541,58257,15754
2024-04-17 22:46:30,305979,232828,57758,15393
2024-04-17 22:46:45,303837,231225,56987,15625
2024-04-17 22:47:00,303839,231315,56983,15540
2024-04-17 22:47:15,298173,226720,56148,15305
2024-04-17 22:47:30,301252,229107,56273,15872
2024-04-17 22:47:45,301012,229489,55718,15805
