"Time","machine69","machine70","All Machines"
2024-04-17 23:06:00,0.00121,0.00156,0.00376
2024-04-17 23:06:15,0.00121,0.00156,0.00376
2024-04-17 23:06:30,0.00121,0.00156,0.00376
2024-04-17 23:06:45,0.000225,0.00156,0.00277
2024-04-17 23:07:00,0.000225,0.000221,0.000660
2024-04-17 23:07:15,0.000225,0.000221,0.000660
2024-04-17 23:07:30,0.000225,0.000221,0.000660
2024-04-17 23:07:45,0.00256,0.000221,0.00299
2024-04-17 23:08:00,0.00256,0.000221,0.00541
2024-04-17 23:08:15,0.00256,0.000221,0.00541
2024-04-17 23:08:30,0.00256,0.0113,0.0165
2024-04-17 23:08:45,0.00942,0.0113,0.0233
2024-04-17 23:09:00,0.00942,0.0113,0.0286
2024-04-17 23:09:15,0.00942,0.0113,0.0286
2024-04-17 23:09:30,0.00942,0.0226,0.0399
2024-04-17 23:09:45,0.0145,0.0226,0.0467
2024-04-17 23:10:00,0.0162,0.0226,0.0519
2024-04-17 23:10:15,0.0162,0.0226,0.0519
2024-04-17 23:10:30,0.0162,0.0352,0.0645
2024-04-17 23:10:45,0.0230,0.0352,0.0713
2024-04-17 23:11:00,0.0230,0.0352,0.0765
2024-04-17 23:11:15,0.0230,0.0352,0.0765
2024-04-17 23:11:30,0.0230,0.0474,0.0887
2024-04-17 23:11:45,0.0266,0.0474,0.0924
