"Time","All machines","machine69","machine70"
2024-04-17 23:06:00,0,0,0
2024-04-17 23:06:15,0,0,0
2024-04-17 23:06:30,0,0,0
2024-04-17 23:06:45,0,0,0
2024-04-17 23:07:00,0,0,0
2024-04-17 23:07:15,0,0,0
2024-04-17 23:07:30,4.21,1.07,0
2024-04-17 23:07:45,8.47,3.23,1.00
2024-04-17 23:08:00,9.47,4.32,1.10
2024-04-17 23:08:15,11.7,4.30,3.08
2024-04-17 23:08:30,7.49,3.23,7.10
2024-04-17 23:08:45,19.8,1.10,9.10
2024-04-17 23:09:00,20.0,3.24,8.74
2024-04-17 23:09:15,20.4,3.15,8.26
2024-04-17 23:09:30,21.2,4.33,4.25
2024-04-17 23:09:45,9.48,5.40,3.29
2024-04-17 23:10:00,9.44,4.28,4.03
2024-04-17 23:10:15,8.49,5.40,4.30
2024-04-17 23:10:30,7.46,3.21,4.12
2024-04-17 23:10:45,6.34,2.14,2.11
2024-04-17 23:11:00,7.30,3.19,2.14
2024-04-17 23:11:15,10.6,5.41,4.05
2024-04-17 23:11:30,8.50,6.43,3.05
2024-04-17 23:11:45,5.32,4.29,3.05
