"Time","All machines","machine69","machine70"
2024-04-17 23:06:00,16055,4653,5625
2024-04-17 23:06:15,15985,4590,5577
2024-04-17 23:06:30,15865,4513,5554
2024-04-17 23:06:45,15675,4431,5528
2024-04-17 23:07:00,15664,4361,5491
2024-04-17 23:07:15,15625,4363,5483
2024-04-17 23:07:30,59296,23120,23804
2024-04-17 23:07:45,140589,61445,49349
2024-04-17 23:08:00,221980,99642,72650
2024-04-17 23:08:15,296401,137237,92975
2024-04-17 23:08:30,305462,142685,98164
2024-04-17 23:08:45,302154,140068,97855
2024-04-17 23:09:00,299635,138273,96806
2024-04-17 23:09:15,281192,122178,92661
2024-04-17 23:09:30,296877,136186,96696
2024-04-17 23:09:45,296887,137749,96640
2024-04-17 23:10:00,298610,140563,96366
2024-04-17 23:10:15,310971,144831,96368
2024-04-17 23:10:30,292563,132479,95665
2024-04-17 23:10:45,295635,136573,95605
2024-04-17 23:11:00,296699,137057,95616
2024-04-17 23:11:15,300700,140671,98596
2024-04-17 23:11:30,274995,130407,83603
2024-04-17 23:11:45,193536,91577,60063
