"Time","Total","Peers","Orderers","Couchdb"
2024-04-17 23:06:00,53866257,26932880,13466305,13467072
2024-04-17 23:06:15,53866257,26932880,13466305,13467072
2024-04-17 23:06:30,53866257,26932880,13466305,13467072
2024-04-17 23:06:45,32894257,16447130,8223569,8223558
2024-04-17 23:07:00,26932603,13466304,6733154,6733145
2024-04-17 23:07:15,26932603,13466304,6733154,6733145
2024-04-17 23:07:30,26932604,13466304,6733155,6733145
2024-04-17 23:07:45,26932610,13466306,6733158,6733146
2024-04-17 23:08:00,26932629,13466315,6733161,6733153
2024-04-17 23:08:15,26932649,13466323,6733169,6733157
2024-04-17 23:08:30,26932649,13466323,6733169,6733157
2024-04-17 23:08:45,26932669,13466335,6733173,6733161
2024-04-17 23:09:00,26932684,13466344,6733176,6733164
2024-04-17 23:09:15,26932694,13466350,6733178,6733166
2024-04-17 23:09:30,26932695,13466351,6733178,6733166
2024-04-17 23:09:45,26932695,13466351,6733178,6733166
2024-04-17 23:10:00,26932695,13466351,6733178,6733166
2024-04-17 23:10:15,26932706,13466357,6733181,6733168
2024-04-17 23:10:30,26932706,13466357,6733181,6733168
2024-04-17 23:10:45,26932716,13466363,6733183,6733170
2024-04-17 23:11:00,26932716,13466363,6733183,6733170
2024-04-17 23:11:15,26932722,13466367,6733184,6733171
2024-04-17 23:11:30,26932869,13466427,6733236,6733206
2024-04-17 23:11:45,26932877,13466431,6733240,6733206
