"Time","Total","Peers","Orderers","Couchsdb"
2024-04-17 23:06:00,0,0,0,0
2024-04-17 23:06:15,0,0,0,0
2024-04-17 23:06:30,0,0,0,0
2024-04-17 23:06:45,0,0,0,0
2024-04-17 23:07:00,0,0,0,0
2024-04-17 23:07:15,0,0,0,0
2024-04-17 23:07:30,4.21,3.13,1.07,0
2024-04-17 23:07:45,8.47,5.33,2.11,1.03
2024-04-17 23:08:00,9.47,5.27,3.17,1.03
2024-04-17 23:08:15,11.7,5.25,3.22,3.20
2024-04-17 23:08:30,7.49,2.19,2.11,3.20
2024-04-17 23:08:45,19.8,2.10,15.6,2.11
2024-04-17 23:09:00,20.0,3.14,15.7,1.09
2024-04-17 23:09:15,20.4,2.10,15.1,3.15
2024-04-17 23:09:30,21.2,1.09,15.8,4.26
2024-04-17 23:09:45,9.48,3.17,1.05,5.25
2024-04-17 23:10:00,9.44,3.17,1.07,5.20
2024-04-17 23:10:15,8.49,3.14,1.07,4.28
2024-04-17 23:10:30,7.46,2.20,2.10,3.17
2024-04-17 23:10:45,6.34,3.16,2.11,1.07
2024-04-17 23:11:00,7.30,3.08,3.15,1.08
2024-04-17 23:11:15,10.6,4.21,4.24,2.12
2024-04-17 23:11:30,8.50,3.20,3.18,2.13
2024-04-17 23:11:45,5.32,2.09,2.14,1.09
