"Time","All machines","machine69","machine70"
2024-04-17 23:21:45,6.50,4.53,4.58
2024-04-17 23:22:00,6.52,4.55,4.61
2024-04-17 23:22:15,7.27,4.57,4.63
2024-04-17 23:22:30,7.28,4.57,4.63
2024-04-17 23:22:45,7.20,4.40,4.64
2024-04-17 23:23:00,7.21,4.40,4.70
2024-04-17 23:23:15,7.57,4.78,4.78
2024-04-17 23:23:30,7.92,5.00,4.99
2024-04-17 23:23:45,8.19,5.18,5.18
2024-04-17 23:24:00,6.61,1.82,5.19
2024-04-17 23:24:15,3.25,2.04,1.98
2024-04-17 23:24:30,3.58,2.22,2.17
2024-04-17 23:24:45,3.51,2.21,2.19
2024-04-17 23:25:00,3.81,2.40,2.41
2024-04-17 23:25:15,4.16,2.62,2.60
2024-04-17 23:25:30,4.21,2.67,2.66
2024-04-17 23:25:45,4.48,2.85,2.84
2024-04-17 23:26:00,4.80,3.10,3.08
2024-04-17 23:26:15,4.92,3.16,3.12
2024-04-17 23:26:30,5.27,3.39,3.35
2024-04-17 23:26:45,5.53,3.59,3.45
2024-04-17 23:27:00,5.62,3.57,3.61
