"Time","orderers","peers","Total"
2024-04-17 23:21:45,0.713,0.780,1.49
2024-04-17 23:22:00,0.713,0.786,1.50
2024-04-17 23:22:15,0.746,0.918,1.66
2024-04-17 23:22:30,0.748,0.918,1.67
2024-04-17 23:22:45,0.748,0.891,1.64
2024-04-17 23:23:00,0.749,0.894,1.64
2024-04-17 23:23:15,0.804,0.934,1.74
2024-04-17 23:23:30,0.878,0.952,1.83
2024-04-17 23:23:45,0.946,0.963,1.91
2024-04-17 23:24:00,0.721,0.811,1.53
2024-04-17 23:24:15,0.333,0.431,0.763
2024-04-17 23:24:30,0.405,0.451,0.856
2024-04-17 23:24:45,0.357,0.463,0.820
2024-04-17 23:25:00,0.421,0.480,0.901
2024-04-17 23:25:15,0.485,0.496,0.981
2024-04-17 23:25:30,0.455,0.523,0.977
2024-04-17 23:25:45,0.512,0.541,1.05
2024-04-17 23:26:00,0.575,0.557,1.13
2024-04-17 23:26:15,0.556,0.571,1.13
2024-04-17 23:26:30,0.619,0.587,1.21
2024-04-17 23:26:45,0.651,0.612,1.26
2024-04-17 23:27:00,0.656,0.627,1.28
