"Time","All machines","machine69","machine70"
2024-04-18 09:18:15,470358330,241393638,219180952
2024-04-18 09:18:30,470359036,241393829,219181158
2024-04-18 09:18:45,470360219,241394306,219181486
2024-04-18 09:19:00,470360514,241394346,219181557
2024-04-18 09:19:15,470361065,241394566,219181794
2024-04-18 09:19:30,470361494,241394602,219181838
2024-04-18 09:19:45,470361872,241394861,219182014
2024-04-18 09:20:00,470362885,241395027,219182443
2024-04-18 09:20:15,470368770,241396364,219183755
2024-04-18 09:20:30,470374418,241397463,219185065
2024-04-18 09:20:45,470380320,241398731,219186186
2024-04-18 09:21:00,470387079,241399790,219187448
2024-04-18 09:21:15,470392686,241401168,219188739
2024-04-18 09:21:30,470398200,241402160,219190031
2024-04-18 09:21:45,470404508,241403411,219191226
2024-04-18 09:22:00,470410435,241404472,219192164
2024-04-18 09:22:15,470415475,241405395,219193511
2024-04-18 09:22:30,470422009,241406732,219194813
2024-04-18 09:22:45,470428011,241407951,219195916
2024-04-18 09:23:00,470433837,241409258,219197155
2024-04-18 09:23:15,470439693,241410423,219198256
2024-04-18 09:23:30,470445253,241411372,219199378
2024-04-18 09:23:45,470451727,241412489,219200687
2024-04-18 09:24:00,470457800,241413667,219201906
2024-04-18 09:24:15,470458505,241413976,219202145
