"Time","Total","Peers","Orderers","Ledgers"
2024-04-18 09:18:15,0,0,0,0
2024-04-18 09:18:30,0,0,0,0
2024-04-18 09:18:45,0,0,0,0
2024-04-18 09:19:00,0,0,0,0
2024-04-18 09:19:15,0,0,0,0
2024-04-18 09:19:30,0,0,0,0
2024-04-18 09:19:45,0,0,0,0
2024-04-18 09:20:00,0,0,0,0
2024-04-18 09:20:15,0,0,0,0
2024-04-18 09:20:30,0,0,0,0
2024-04-18 09:20:45,2,1,0,1
2024-04-18 09:21:00,1,0,1,0
2024-04-18 09:21:15,0,0,0,0
2024-04-18 09:21:30,0,0,0,0
2024-04-18 09:21:45,3,0,1,2
2024-04-18 09:22:00,1,0,1,0
2024-04-18 09:22:15,0,0,0,0
2024-04-18 09:22:30,1,0,0,1
2024-04-18 09:22:45,3,2,1,0
2024-04-18 09:23:00,0,0,0,0
2024-04-18 09:23:15,0,0,0,0
2024-04-18 09:23:30,1,0,1,0
2024-04-18 09:23:45,0,0,0,0
2024-04-18 09:24:00,0,0,0,0
2024-04-18 09:24:15,0,0,0,0
