"Time","machine69","machine70","All Machines"
2024-04-18 09:36:15,0.159,0.217,0.297
2024-04-18 09:36:30,0.160,0.217,0.298
2024-04-18 09:36:45,0.161,0.217,0.298
2024-04-18 09:37:00,0.161,0.219,0.298
2024-04-18 09:37:15,0.00136,0.219,0.219
2024-04-18 09:37:30,0.00141,0.00139,0.00140
2024-04-18 09:37:45,0.00141,0.00139,0.00204
2024-04-18 09:38:00,0.00141,0.00141,0.00205
2024-04-18 09:38:15,0.00141,0.00141,0.00205
2024-04-18 09:38:30,0.0163,0.00141,0.00949
2024-04-18 09:38:45,0.0163,0.00141,0.0167
2024-04-18 09:39:00,0.0163,0.0666,0.0493
2024-04-18 09:39:15,0.0163,0.0666,0.0493
2024-04-18 09:39:30,0.0269,0.0666,0.0546
2024-04-18 09:39:45,0.0592,0.0666,0.0872
2024-04-18 09:40:00,0.0592,0.142,0.125
2024-04-18 09:40:15,0.0592,0.142,0.125
2024-04-18 09:40:30,0.102,0.142,0.146
2024-04-18 09:40:45,0.102,0.142,0.163
2024-04-18 09:41:00,0.102,0.217,0.200
2024-04-18 09:41:15,0.102,0.217,0.200
2024-04-18 09:41:30,0.145,0.217,0.222
2024-04-18 09:41:45,0.145,0.217,0.238
2024-04-18 09:42:00,0.145,0.293,0.276
2024-04-18 09:42:15,0.145,0.293,0.276
