"Time","orderers","peers","Total"
2024-04-18 09:36:15,1.90,1.79,3.68
2024-04-18 09:36:30,1.96,2.13,4.10
2024-04-18 09:36:45,1.97,2.13,4.10
2024-04-18 09:37:00,2.03,2.44,4.47
2024-04-18 09:37:15,1.50,1.91,3.41
2024-04-18 09:37:30,0.135,0.679,0.814
2024-04-18 09:37:45,0.244,1.09,1.34
2024-04-18 09:38:00,0.247,1.09,1.34
2024-04-18 09:38:15,0.381,1.20,1.58
2024-04-18 09:38:30,0.582,1.23,1.82
2024-04-18 09:38:45,0.809,1.31,2.12
2024-04-18 09:39:00,0.813,1.37,2.18
2024-04-18 09:39:15,1.00,1.42,2.42
2024-04-18 09:39:30,1.20,1.49,2.68
2024-04-18 09:39:45,1.05,1.51,2.56
2024-04-18 09:40:00,1.23,1.59,2.82
2024-04-18 09:40:15,1.46,1.65,3.10
2024-04-18 09:40:30,1.39,1.69,3.08
2024-04-18 09:40:45,1.56,1.74,3.30
2024-04-18 09:41:00,1.76,1.81,3.57
2024-04-18 09:41:15,1.65,1.87,3.52
2024-04-18 09:41:30,1.82,1.93,3.75
2024-04-18 09:41:45,2.00,1.99,3.98
2024-04-18 09:42:00,1.91,2.03,3.95
2024-04-18 09:42:15,2.02,2.06,4.08
