"Time","machine69","machine70","Total"
2024-04-18 10:08:00,2.28,0.621,2.98
2024-04-18 10:08:15,3.01,1.27,4.54
2024-04-18 10:08:30,3.12,2.21,5.72
2024-04-18 10:08:45,3.06,3.10,7.01
2024-04-18 10:09:00,2.99,3.13,7.46
2024-04-18 10:09:15,11.3,13.3,31.5
2024-04-18 10:09:30,32.4,29.6,82.1
2024-04-18 10:09:45,54.9,51.0,136
2024-04-18 10:10:00,75.9,67.4,188
2024-04-18 10:10:15,82.5,72.0,204
2024-04-18 10:10:30,80.2,71.5,203
2024-04-18 10:10:45,82.9,72.8,204
2024-04-18 10:11:00,82.9,72.3,211
2024-04-18 10:11:15,83.9,67.4,209
2024-04-18 10:11:30,87.2,74.2,216
2024-04-18 10:11:45,87.7,76.0,218
2024-04-18 10:12:00,87.0,74.6,215
2024-04-18 10:12:15,87.2,76.5,216
2024-04-18 10:12:30,86.3,76.0,216
2024-04-18 10:12:45,86.2,75.1,217
2024-04-18 10:13:00,77.4,75.6,197
2024-04-18 10:13:15,78.3,64.4,195
