"Time","All machines","machine69","machine70"
2024-04-18 10:05:30,9141,565,4212
2024-04-18 10:05:45,6425,323,3011
2024-04-18 10:06:00,3906,129,1778
2024-04-18 10:06:15,594,,79.3
2024-04-18 10:07:30,1549,1549,
2024-04-18 10:07:45,3005,3005,
2024-04-18 10:08:00,5421,4198,1060
2024-04-18 10:08:15,8110,5603,2235
2024-04-18 10:08:30,10373,5669,3319
2024-04-18 10:08:45,13480,5756,4655
2024-04-18 10:09:00,14642,6020,4297
2024-04-18 10:09:15,74308,27246,21626
2024-04-18 10:09:30,168968,70944,45607
2024-04-18 10:09:45,281225,115785,76924
2024-04-18 10:10:00,380831,158253,100611
2024-04-18 10:10:15,400197,169094,105677
2024-04-18 10:10:30,394484,163201,104042
2024-04-18 10:10:45,390760,167194,106668
2024-04-18 10:11:00,399353,167008,106082
2024-04-18 10:11:15,399308,167431,98365
2024-04-18 10:11:30,403973,170779,106375
2024-04-18 10:11:45,408402,174502,107049
2024-04-18 10:12:00,403642,171070,104007
2024-04-18 10:12:15,399279,169583,106538
2024-04-18 10:12:30,396996,168767,105466
2024-04-18 10:12:45,399832,167492,102501
2024-04-18 10:13:00,358233,149587,103158
2024-04-18 10:13:15,358623,150438,90760
2024-04-18 10:13:30,257700,112401,63050
2024-04-18 10:13:45,146800,64342,38080
2024-04-18 10:14:00,78148,32869,20730
2024-04-18 10:14:15,17417,7324,4795
2024-04-18 10:14:30,17625,7239,4804
2024-04-18 10:14:45,18704,7595,5262
2024-04-18 10:15:00,18349,7226,5232
2024-04-18 10:15:15,17504,6607,5003
2024-04-18 10:15:30,17194,6256,4542
2024-04-18 10:15:45,15501,5486,4531
2024-04-18 10:16:00,15211,5399,4548
