"Time","Total","Peers","Orderers","Couchsdb"
2024-04-18 10:08:00,0,0,0,0
2024-04-18 10:08:15,0,0,0,0
2024-04-18 10:08:30,0,0,0,0
2024-04-18 10:08:45,0,0,0,0
2024-04-18 10:09:00,0,0,0,0
2024-04-18 10:09:15,0,0,0,0
2024-04-18 10:09:30,0,0,0,0
2024-04-18 10:09:45,21.6,9.70,4.35,7.58
2024-04-18 10:10:00,93.3,43.9,27.3,22.1
2024-04-18 10:10:15,117,57.5,33.0,26.1
2024-04-18 10:10:30,99.7,49.6,30.1,20.0
2024-04-18 10:10:45,93.0,46.2,28.5,18.3
2024-04-18 10:11:00,45.1,26.6,9.86,8.70
2024-04-18 10:11:15,22.1,13.2,4.44,4.36
2024-04-18 10:11:30,21.7,13.0,4.37,4.39
2024-04-18 10:11:45,0,0,0,0
2024-04-18 10:12:00,2.17,0,1.08,1.09
2024-04-18 10:12:15,222,94.7,82.2,45.5
2024-04-18 10:12:30,382,180,125,76.1
2024-04-18 10:12:45,588,269,192,127
2024-04-18 10:13:00,548,245,183,120
2024-04-18 10:13:15,738,337,242,159
