"Time","Total","Peers","Orderers"
2024-04-18 10:26:00,0.0678,0.0625,0.00531
2024-04-18 10:26:15,0.0678,0.0625,0.00531
2024-04-18 10:26:30,0.0681,0.0626,0.00542
2024-04-18 10:26:45,0.0681,0.0626,0.00542
2024-04-18 10:27:00,0.0683,0.0627,0.00554
2024-04-18 10:27:15,0.0683,0.0627,0.00554
2024-04-18 10:27:30,0.0685,0.0629,0.00563
2024-04-18 10:27:45,0.0685,0.0629,0.00563
2024-04-18 10:28:00,0.0685,0.0629,0.00563
2024-04-18 10:28:15,0.0685,0.0629,0.00563
2024-04-18 10:28:30,0.0791,0.0727,0.00639
2024-04-18 10:28:45,0.0791,0.0727,0.00639
2024-04-18 10:29:00,0.0908,0.0843,0.00653
2024-04-18 10:29:15,0.0654,0.0634,0.00197
2024-04-18 10:29:30,0.0452,0.0422,0.00298
2024-04-18 10:29:45,0.0452,0.0422,0.00298
2024-04-18 10:30:00,0.0572,0.0541,0.00312
2024-04-18 10:30:15,0.0572,0.0541,0.00312
2024-04-18 10:30:30,0.0791,0.0742,0.00488
2024-04-18 10:30:45,0.0791,0.0742,0.00488
2024-04-18 10:31:00,0.0912,0.0862,0.00502
2024-04-18 10:31:15,0.0912,0.0862,0.00502
2024-04-18 10:31:30,0.114,0.107,0.00678
2024-04-18 10:31:45,0.114,0.107,0.00678
