"Time","Total","Peers","Orderers","Couchdb"
2024-04-18 10:26:00,821428379,821139806,221967,66606
2024-04-18 10:26:15,821428379,821139806,221967,66606
2024-04-18 10:26:30,1331268491,1330978654,222976,66861
2024-04-18 10:26:45,1331269528,1330979493,223157,66878
2024-04-18 10:27:00,1631943680,1631650954,225599,67127
2024-04-18 10:27:15,1631946435,1631653185,226123,67127
2024-04-18 10:27:30,1642217467,1641921992,228075,67400
2024-04-18 10:27:45,1642221290,1641925062,228826,67402
2024-04-18 10:28:00,1642268937,1641960111,239104,69722
2024-04-18 10:28:15,1642343938,1642016577,253592,73769
2024-04-18 10:28:30,1642420744,1642076032,267543,77169
2024-04-18 10:28:45,1642494636,1642132851,280650,81135
2024-04-18 10:29:00,1642567610,1642188474,293711,85425
2024-04-18 10:29:15,1132424158,1132209323,150374,64461
2024-04-18 10:29:30,821288191,821162264,99263,26664
2024-04-18 10:29:45,821362820,821218184,114069,30567
2024-04-18 10:30:00,821437857,821275340,127761,34756
2024-04-18 10:30:15,821516298,821336040,141268,38990
2024-04-18 10:30:30,821587995,821390616,154592,42787
2024-04-18 10:30:45,821662523,821446406,169280,46837
2024-04-18 10:31:00,821736936,821503746,181985,51205
2024-04-18 10:31:15,821810789,821561272,194700,54817
2024-04-18 10:31:30,821885217,821618001,207828,59388
2024-04-18 10:31:45,821957900,821672948,221795,63157
