"Time","All machines","machine69","machine70"
2024-04-18 10:26:00,27049488,21086104,5893524
2024-04-18 10:26:15,27049488,21086104,5893524
2024-04-18 10:26:30,48139332,42175948,5893524
2024-04-18 10:26:45,48139332,42175948,5893524
2024-04-18 10:27:00,54032860,42175948,11787052
2024-04-18 10:27:15,54032860,42175948,11787052
2024-04-18 10:27:30,54103170,42176299,11787052
2024-04-18 10:27:45,54105591,42178767,11787052
2024-04-18 10:28:00,54106322,42179550,11787052
2024-04-18 10:28:15,54106327,42179561,11787052
2024-04-18 10:28:30,54106357,42179585,11787052
2024-04-18 10:28:45,54106382,42179610,11787052
2024-04-18 10:29:00,54106387,42179615,11787052
2024-04-18 10:29:15,33020283,21093511,7366909
2024-04-18 10:29:30,27056914,21093526,5893528
2024-04-18 10:29:45,27056914,21093526,5893528
2024-04-18 10:30:00,27056920,21093532,5893528
2024-04-18 10:30:15,27056920,21093532,5893528
2024-04-18 10:30:30,27056920,21093532,5893528
2024-04-18 10:30:45,27056926,21093538,5893528
2024-04-18 10:31:00,27056926,21093538,5893528
2024-04-18 10:31:15,27056926,21093558,5893528
2024-04-18 10:31:30,27057067,21093679,5893528
2024-04-18 10:31:45,27057100,21093712,5893528
