"Time","All machines","machine69","machine70","machine77"
2024-04-19 11:08:45,337794254,39182,314340167,23415161
2024-04-19 11:09:00,868184881,530429792,314340167,23415161
2024-04-19 11:09:15,868185998,530430896,314340167,23415161
2024-04-19 11:09:30,1182487320,530431833,628640738,23415161
2024-04-19 11:09:45,1182489962,530432856,628642317,23415161
2024-04-19 11:10:00,1182492782,530434184,628643812,46829914
2024-04-19 11:10:15,1205911782,530435442,628645197,46831634
2024-04-19 11:10:30,1205918051,530436980,628648030,46833974
2024-04-19 11:10:45,1205995175,530467715,628674903,46852749
2024-04-19 11:11:00,1206090048,530512601,628703912,46876621
2024-04-19 11:11:15,1206192207,530557250,628734907,46901512
2024-04-19 11:11:30,1206291681,530599341,628764532,46926160
2024-04-19 11:11:45,1206348927,530605827,628794033,46950888
2024-04-19 11:12:00,868689279,530649537,314484315,23560091
2024-04-19 11:12:15,868788137,530694143,314513299,23584879
2024-04-19 11:12:30,868889530,530738819,314544001,23609182
2024-04-19 11:12:45,868987787,530784004,314573381,23632806
2024-04-19 11:13:00,869087893,530829244,314602908,23657136
2024-04-19 11:13:15,869187712,530869739,314629108,23681198
2024-04-19 11:13:30,869282104,530912585,314661034,23706850
2024-04-19 11:13:45,869375273,530957829,314689008,23730368
2024-04-19 11:14:00,869475099,531000537,314719295,23755267
2024-04-19 11:14:15,869568506,531045581,314747165,23779868
2024-04-19 11:14:30,869670376,531089278,314773477,23804509
