"Time","orderers","peers","Total"
2024-04-19 11:08:45,0.115,0.333,0.448
2024-04-19 11:09:00,0.133,0.431,0.563
2024-04-19 11:09:15,0.134,0.433,0.567
2024-04-19 11:09:30,0.155,0.534,0.689
2024-04-19 11:09:45,0.155,0.540,0.696
2024-04-19 11:10:00,0.156,0.544,0.699
2024-04-19 11:10:15,0.186,0.671,0.857
2024-04-19 11:10:30,0.188,0.676,0.863
2024-04-19 11:10:45,0.247,0.680,0.928
2024-04-19 11:11:00,0.315,0.706,1.02
2024-04-19 11:11:15,0.383,0.721,1.10
2024-04-19 11:11:30,0.372,0.735,1.11
2024-04-19 11:11:45,0.380,0.651,1.03
2024-04-19 11:12:00,0.378,0.439,0.817
2024-04-19 11:12:15,0.339,0.454,0.793
2024-04-19 11:12:30,0.397,0.474,0.871
2024-04-19 11:12:45,0.419,0.489,0.908
2024-04-19 11:13:00,0.412,0.512,0.924
2024-04-19 11:13:15,0.476,0.528,1.00
2024-04-19 11:13:30,0.473,0.538,1.01
2024-04-19 11:13:45,0.492,0.557,1.05
2024-04-19 11:14:00,0.543,0.567,1.11
2024-04-19 11:14:15,0.571,0.594,1.16
2024-04-19 11:14:30,0.577,0.597,1.17
