"Time","Total","Peers","Orderers"
2024-04-19 19:50:15,97.1,81.1,16.0
2024-04-19 19:50:30,99.2,83.1,16.1
2024-04-19 19:50:45,102,85.6,16.5
2024-04-19 19:51:00,103,86.8,16.6
2024-04-19 19:51:15,106,89.1,17.2
2024-04-19 19:51:30,106,88.9,17.2
2024-04-19 19:51:45,104,86.6,17.0
2024-04-19 19:52:00,102,84.9,16.9
2024-04-19 19:52:15,98.5,82.2,16.3
2024-04-19 19:52:30,98.5,82.4,16.1
2024-04-19 19:52:45,99.7,83.4,16.3
2024-04-19 19:53:00,84.6,70.9,13.7
2024-04-19 19:53:15,59.7,50.0,9.71
2024-04-19 19:53:30,33.2,27.7,5.53
2024-04-19 19:53:45,8.45,7.00,1.45
