"Time","All machines","machine69","machine70","machine77"
2024-04-19 19:50:15,0.0109,0.00824,0.00277,0.00404
2024-04-19 19:50:30,0.0109,0.00824,0.00277,0.00404
2024-04-19 19:50:45,0.0139,0.00824,0.00572,0.00404
2024-04-19 19:51:00,0.0139,0.00824,0.00572,0.00404
2024-04-19 19:51:15,0.0195,0.0142,0.00572,0.00673
2024-04-19 19:51:30,0.0195,0.0142,0.00572,0.00673
2024-04-19 19:51:45,0.0225,0.0142,0.00867,0.00673
2024-04-19 19:52:00,0.0225,0.0142,0.00867,0.00673
2024-04-19 19:52:15,0.0282,0.0201,0.00867,0.00944
2024-04-19 19:52:30,0.0282,0.0201,0.00867,0.00944
2024-04-19 19:52:45,0.0311,0.0201,0.0116,0.00944
2024-04-19 19:53:00,0.0311,0.0201,0.0116,0.00944
2024-04-19 19:53:15,0.0350,0.0245,0.0116,0.0112
2024-04-19 19:53:30,0.0350,0.0245,0.0116,0.0112
2024-04-19 19:53:45,0.0356,0.0245,0.0122,0.0112
