"Time","All machines","machine69","machine70","machine77"
2024-04-19 19:50:15,430056,173647,123544,132522
2024-04-19 19:50:30,431412,175151,123269,133020
2024-04-19 19:50:45,430948,175102,123035,132837
2024-04-19 19:51:00,430948,175018,123461,133017
2024-04-19 19:51:15,426636,176538,122651,133715
2024-04-19 19:51:30,424813,174733,122957,132952
2024-04-19 19:51:45,428125,173715,119182,132153
2024-04-19 19:52:00,428510,173907,122149,132815
2024-04-19 19:52:15,423694,173116,122098,132394
2024-04-19 19:52:30,424760,173440,122820,132039
2024-04-19 19:52:45,424042,173940,121430,131970
2024-04-19 19:53:00,364336,149953,98991,112306
2024-04-19 19:53:15,250328,103441,66880,77161
2024-04-19 19:53:30,140375,58690,36403,44440
2024-04-19 19:53:45,29766,12188,5690,9218
