"Time","Total","Peers","Orderers","Couchsdb"
2024-04-19 19:50:15,12.0,5.41,4.44,2.20
2024-04-19 19:50:30,12.0,5.36,4.39,2.21
2024-04-19 19:50:45,11.8,5.38,4.32,2.15
2024-04-19 19:51:00,10.8,5.41,3.25,2.15
2024-04-19 19:51:15,1.10,0,0,1.10
2024-04-19 19:51:30,64.2,33.7,17.5,13.0
2024-04-19 19:51:45,711,371,187,153
2024-04-19 19:52:00,819,432,214,173
2024-04-19 19:52:15,1063,566,271,226
2024-04-19 19:52:30,3384,1581,982,821
2024-04-19 19:52:45,3447,1568,1059,820
2024-04-19 19:53:00,3591,1644,1100,846
2024-04-19 19:53:15,3183,1440,987,756
2024-04-19 19:53:30,460,215,137,108
2024-04-19 19:53:45,104,51.9,29.8,22.7
