"Time","machine69","machine70","All Machines","machine77"
2024-04-19 11:43:15,0.000229,0.000217,0.000652,0.000206
2024-04-19 11:43:30,0.000229,0.000217,0.000656,0.000210
2024-04-19 11:43:45,0.000229,0.000217,0.000656,0.000210
2024-04-19 11:44:00,0.000229,0.000217,0.000656,0.000210
2024-04-19 11:44:15,0.000229,0.000217,0.000656,0.000210
2024-04-19 11:44:30,0.00242,0.000217,0.00519,0.00255
2024-04-19 11:44:45,0.00242,0.000217,0.00519,0.00255
2024-04-19 11:45:00,0.00242,0.0110,0.0160,0.00255
2024-04-19 11:45:15,0.00242,0.0110,0.0160,0.00255
2024-04-19 11:45:30,0.00869,0.0110,0.0275,0.00777
2024-04-19 11:45:45,0.00869,0.0110,0.0275,0.00777
2024-04-19 11:46:00,0.00869,0.0230,0.0395,0.00777
2024-04-19 11:46:15,0.00869,0.0230,0.0406,0.00777
2024-04-19 11:46:30,0.0150,0.0230,0.0510,0.0130
2024-04-19 11:46:45,0.0150,0.0230,0.0510,0.0130
2024-04-19 11:47:00,0.0150,0.0350,0.0630,0.0130
2024-04-19 11:47:15,0.0150,0.0350,0.0641,0.0130
2024-04-19 11:47:30,0.0212,0.0350,0.0745,0.0182
2024-04-19 11:47:45,0.0212,0.0350,0.0745,0.0182
