"Time","All machines","machine69","machine70","machine77"
2024-04-19 11:43:15,0,0,0,0
2024-04-19 11:43:30,0,0,0,0
2024-04-19 11:43:45,0,1.03,0,0
2024-04-19 11:44:00,27.3,26.4,0,0
2024-04-19 11:44:15,32.6,32.6,0,0
2024-04-19 11:44:30,48.7,49.0,0,0
2024-04-19 11:44:45,43.6,40.9,0,0
2024-04-19 11:45:00,22.1,21.8,0,0
2024-04-19 11:45:15,65.3,65.3,0,0
2024-04-19 11:45:30,228,225,0,0
2024-04-19 11:45:45,279,279,0,0
2024-04-19 11:46:00,421,419,0,0
2024-04-19 11:46:15,305,302,0,0
2024-04-19 11:46:30,396,399,0,0
2024-04-19 11:46:45,487,485,0,0
2024-04-19 11:47:00,674,674,0,0
2024-04-19 11:47:15,618,627,0,0
