"Time","All machines","machine69","machine70","machine77"
2024-04-19 11:43:15,1.93,1.27,1.07,1.52
2024-04-19 11:43:30,1.90,1.22,1.06,1.52
2024-04-19 11:43:45,1.88,1.22,1.03,1.52
2024-04-19 11:44:00,2.24,1.52,1.31,1.65
2024-04-19 11:44:15,2.55,1.74,1.52,1.86
2024-04-19 11:44:30,2.84,1.94,1.67,2.06
2024-04-19 11:44:45,2.97,1.94,1.70,2.26
2024-04-19 11:45:00,3.18,2.11,1.89,2.40
2024-04-19 11:45:15,3.45,2.24,2.10,2.59
2024-04-19 11:45:30,3.39,2.19,2.11,2.45
2024-04-19 11:45:45,3.67,2.35,2.30,2.68
2024-04-19 11:46:00,3.97,2.52,2.55,2.92
2024-04-19 11:46:15,4.01,2.46,2.53,2.98
2024-04-19 11:46:30,4.25,2.64,2.75,3.16
2024-04-19 11:46:45,4.58,2.81,3.01,3.36
2024-04-19 11:47:00,4.64,2.78,3.09,3.41
2024-04-19 11:47:15,4.98,2.97,3.33,3.70
2024-04-19 11:47:30,5.29,3.13,3.54,3.94
2024-04-19 11:47:45,5.29,3.09,3.56,3.98
