"Time","machine69","machine70","All Machines","machine77"
2024-04-19 17:37:45,0.00146,0.00136,0.00207,0.000657
2024-04-19 17:38:00,0.00146,0.0259,0.00207,0.000657
2024-04-19 17:38:15,0.00146,0.0261,0.0144,0.000657
2024-04-19 17:38:30,0.0592,0.0261,0.0433,0.000657
2024-04-19 17:38:45,0.0592,0.0261,0.0576,0.0150
2024-04-19 17:39:00,0.0592,0.101,0.0576,0.0150
2024-04-19 17:39:15,0.0592,0.101,0.0951,0.0150
2024-04-19 17:39:30,0.139,0.101,0.139,0.0150
2024-04-19 17:39:45,0.146,0.101,0.155,0.0314
2024-04-19 17:40:00,0.146,0.176,0.155,0.0314
2024-04-19 17:40:15,0.146,0.176,0.192,0.0314
2024-04-19 17:40:30,0.221,0.176,0.233,0.0314
2024-04-19 17:40:45,0.228,0.176,0.250,0.0478
2024-04-19 17:41:00,0.228,0.176,0.250,0.0478
2024-04-19 17:41:15,0.228,0.251,0.287,0.0478
2024-04-19 17:41:30,0.235,0.251,0.291,0.0478
2024-04-19 17:41:45,0.310,0.251,0.345,0.0641
