"Time","Total","Peers","Orderers"
2024-04-19 17:37:45,0.00207,0.00106,0.00100
2024-04-19 17:38:00,0.00207,0.00106,0.00100
2024-04-19 17:38:15,0.0144,0.0134,0.00108
2024-04-19 17:38:30,0.0433,0.0395,0.00379
2024-04-19 17:38:45,0.0576,0.0536,0.00398
2024-04-19 17:39:00,0.0576,0.0536,0.00398
2024-04-19 17:39:15,0.0951,0.0909,0.00419
2024-04-19 17:39:30,0.139,0.131,0.00762
2024-04-19 17:39:45,0.155,0.147,0.00784
2024-04-19 17:40:00,0.155,0.147,0.00784
2024-04-19 17:40:15,0.192,0.184,0.00805
2024-04-19 17:40:30,0.233,0.222,0.0115
2024-04-19 17:40:45,0.250,0.238,0.0117
2024-04-19 17:41:00,0.250,0.238,0.0117
2024-04-19 17:41:15,0.287,0.275,0.0119
2024-04-19 17:41:30,0.291,0.275,0.0154
2024-04-19 17:41:45,0.345,0.329,0.0156
