"Time","All machines","machine69","machine70","machine77"
2024-04-19 17:37:45,837317782,515213357,304653243,17442394
2024-04-19 17:38:00,837393493,515252787,304677066,17465169
2024-04-19 17:38:15,837462682,515283832,304693642,17481452
2024-04-19 17:38:30,837530156,515318880,304713764,17499888
2024-04-19 17:38:45,837600192,515352367,304729433,17517362
2024-04-19 17:39:00,837669688,515388515,304751693,17535006
2024-04-19 17:39:15,837741438,515419409,304770189,17551920
2024-04-19 17:39:30,837810174,515453442,304787854,17569102
2024-04-19 17:39:45,837878469,515486053,304806014,17587073
2024-04-19 17:40:00,837950739,515518997,304823169,17604569
2024-04-19 17:40:15,838017725,515552245,304843387,17621368
2024-04-19 17:40:30,838083561,515586126,304861421,17639148
2024-04-19 17:40:45,838154722,515618795,304877774,17656997
2024-04-19 17:41:00,838222473,515650047,304896976,17674047
2024-04-19 17:41:15,838291012,515685101,304915904,17691577
2024-04-19 17:41:30,838360659,515716617,304934203,17708757
2024-04-19 17:41:45,838420258,515748004,304947427,17724632
