"Time","All machines","machine69","machine70","machine77"
2024-04-19 17:37:45,27084,5675,6561,5539
2024-04-19 17:38:00,105422,46863,30376,28758
2024-04-19 17:38:15,179225,83636,46941,46561
2024-04-19 17:38:30,244837,115785,69311,63460
2024-04-19 17:38:45,284074,136181,74079,73239
2024-04-19 17:39:00,275063,132638,74196,70056
2024-04-19 17:39:15,277416,133225,73616,69696
2024-04-19 17:39:30,277207,134443,73394,69273
2024-04-19 17:39:45,277296,134720,73275,69303
2024-04-19 17:40:00,276164,131663,71704,69967
2024-04-19 17:40:15,274573,132451,72756,69971
2024-04-19 17:40:30,274324,132853,73006,69980
2024-04-19 17:40:45,274606,132331,73036,70280
2024-04-19 17:41:00,273223,132090,72861,70070
2024-04-19 17:41:15,272253,132221,72964,69649
2024-04-19 17:41:30,272842,131419,73267,69722
2024-04-19 17:41:45,262998,129030,68088,67673
