"Time","orderers","peers","Total"
2024-04-19 17:37:45,0.323,0.975,1.30
2024-04-19 17:38:00,0.517,1.15,1.66
2024-04-19 17:38:15,0.740,1.21,1.95
2024-04-19 17:38:30,0.774,1.29,2.07
2024-04-19 17:38:45,0.968,1.32,2.29
2024-04-19 17:39:00,1.12,1.40,2.52
2024-04-19 17:39:15,1.02,1.45,2.47
2024-04-19 17:39:30,1.18,1.48,2.66
2024-04-19 17:39:45,1.36,1.56,2.93
2024-04-19 17:40:00,1.23,1.60,2.84
2024-04-19 17:40:15,1.42,1.63,3.05
2024-04-19 17:40:30,1.61,1.71,3.32
2024-04-19 17:40:45,1.51,1.74,3.26
2024-04-19 17:41:00,1.69,1.82,3.52
2024-04-19 17:41:15,1.86,1.87,3.73
2024-04-19 17:41:30,1.77,1.91,3.68
2024-04-19 17:41:45,1.92,1.96,3.88
