"Time","Total","Peers","Orderers","Ledgers"
2024-04-19 18:01:30,0,0,0,0
2024-04-19 18:01:45,1,1,0,0
2024-04-19 18:02:00,1,1,0,0
2024-04-19 18:02:15,2,0,1,1
2024-04-19 18:02:30,2,1,0,1
2024-04-19 18:02:45,0,0,0,0
2024-04-19 18:03:00,2,0,0,2
2024-04-19 18:03:15,2,0,0,2
2024-04-19 18:03:30,0,0,0,0
2024-04-19 18:03:45,1,0,1,0
2024-04-19 18:04:00,1,1,0,0
2024-04-19 18:04:15,1,1,0,0
2024-04-19 18:04:30,1,1,0,0
2024-04-19 18:04:45,2,0,0,2
2024-04-19 18:05:00,9,4,1,4
2024-04-19 18:05:15,0,0,0,0
2024-04-19 18:05:30,2,0,0,2
