"Time","Total","Peers","Orderers","Couchdb"
2024-04-19 18:26:30,1220826236,1220798426,24716,3094
2024-04-19 18:26:45,1220921258,1220876150,37681,7427
2024-04-19 18:27:00,1221027835,1220965071,50042,12722
2024-04-19 18:27:15,1221123713,1221042881,63205,17627
2024-04-19 18:27:30,1221215210,1221121812,70662,22736
2024-04-19 18:27:45,877601884,877496586,77720,27578
2024-04-19 18:28:00,877705046,877581995,90763,32288
2024-04-19 18:28:15,877805024,877664406,102812,37806
2024-04-19 18:28:30,877903181,877745128,115641,42412
2024-04-19 18:28:45,878006451,877829173,129325,47953
2024-04-19 18:29:00,878099813,877906616,140516,52681
2024-04-19 18:29:15,878207766,877995833,154144,57789
2024-04-19 18:29:30,878303583,878073978,166432,63173
2024-04-19 18:29:45,878403394,878155458,179625,68311
2024-04-19 18:30:00,878501414,878236195,191579,73640
2024-04-19 18:30:15,878595094,878312802,204302,77990
2024-04-19 18:30:30,878681164,878383230,215391,82543
