"Time","All machines","machine69","machine70","machine77"
2024-04-19 18:40:45,0,0,0,0
2024-04-19 18:41:00,1,0,0,0
2024-04-19 18:41:15,2,0,0,0
2024-04-19 18:41:30,2,0,0,0
2024-04-19 18:41:45,1,0,0,0
2024-04-19 18:42:00,0,0,0,0
2024-04-19 18:42:15,2,0,0,0
2024-04-19 18:42:30,0,0,0,0
2024-04-19 18:42:45,3,1,0,0
2024-04-19 18:43:00,1,0,1,0
2024-04-19 18:43:15,0,0,0,0
2024-04-19 18:43:30,4,2,2,0
2024-04-19 18:43:45,1,0,0,0
2024-04-19 18:44:00,1,1,0,0
2024-04-19 18:44:15,2,0,0,0
2024-04-19 18:44:30,0,4,0,0
2024-04-19 18:44:45,0,0,0,0
