"Time","Total","Peers","Orderers","Couchsdb"
2024-04-19 18:40:45,14869,12302,2531,35.7
2024-04-19 18:41:00,73181,57539,12479,3162
2024-04-19 18:41:15,143160,110508,25169,7483
2024-04-19 18:41:30,210148,161358,36633,12157
2024-04-19 18:41:45,269710,207036,46705,15970
2024-04-19 18:42:00,271422,208416,46947,16059
2024-04-19 18:42:15,271575,208769,46831,15974
2024-04-19 18:42:30,274509,211628,46880,16000
2024-04-19 18:42:45,275218,211506,47658,16053
2024-04-19 18:43:00,270948,208047,47103,15798
2024-04-19 18:43:15,273619,210377,47085,16158
2024-04-19 18:43:30,271768,208763,46810,16195
2024-04-19 18:43:45,271489,208763,46642,16084
2024-04-19 18:44:00,269664,207489,45683,16491
2024-04-19 18:44:15,270850,209073,45314,16463
2024-04-19 18:44:30,265886,204640,44900,16346
2024-04-19 18:44:45,270359,209187,44715,16457
