"Time","Total","Peers","Orderers","Couchdb"
2024-04-19 19:00:15,840390793,840303001,67781,20011
2024-04-19 19:00:30,840457805,840353662,79488,24655
2024-04-19 19:00:45,840526003,840406559,90849,28595
2024-04-19 19:01:00,840597569,840462236,103154,32179
2024-04-19 19:01:15,840663839,840513252,114333,36254
2024-04-19 19:01:30,840729568,840563252,125428,40888
2024-04-19 19:01:45,840799540,840617531,137137,44872
2024-04-19 19:02:00,840864545,840667859,147678,49008
2024-04-19 19:02:15,840930759,840718104,159301,53354
2024-04-19 19:02:30,841000378,840770898,171484,57996
2024-04-19 19:02:45,841065232,840821002,181876,62354
2024-04-19 19:03:00,841137313,840877425,193613,66275
