"Time","All machines","machine69","machine70","machine77"
2024-04-19 19:00:15,476334285,243534007,221200272,11600398
2024-04-19 19:00:30,476340526,243535310,221201393,11603600
2024-04-19 19:00:45,476347318,243536516,221202841,11607661
2024-04-19 19:01:00,476352863,243537952,221203941,11610964
2024-04-19 19:01:15,476358435,243538947,221205011,11614569
2024-04-19 19:01:30,476364497,243539843,221205944,11618118
2024-04-19 19:01:45,476370163,243540885,221207607,11621530
2024-04-19 19:02:00,476375056,243541880,221208499,11625058
2024-04-19 19:02:15,476381069,243543130,221209890,11628468
2024-04-19 19:02:30,476387509,243544248,221210988,11631906
2024-04-19 19:02:45,476393286,243545329,221211957,11635635
2024-04-19 19:03:00,476399270,243546578,221213296,11639322
