"Time","Total","Peers","Orderers","Couchsdb"
2024-04-19 19:00:15,24040,6924,5121,11995
2024-04-19 19:00:30,23491,6678,5117,11696
2024-04-19 19:00:45,24323,7037,5375,11911
2024-04-19 19:01:00,24584,7211,5384,11989
2024-04-19 19:01:15,23723,6737,5278,11708
2024-04-19 19:01:30,23631,6800,5295,11535
2024-04-19 19:01:45,23068,6591,5109,11368
2024-04-19 19:02:00,22524,6243,5075,11206
2024-04-19 19:02:15,23104,6536,5176,11392
2024-04-19 19:02:30,22347,6337,5143,10868
2024-04-19 19:02:45,22980,6597,5023,11361
2024-04-19 19:03:00,23702,6895,5227,11580
