"Time","machine69","machine70","Total","machine77"
2024-04-19 19:35:00,14.4,16.8,38.7,7.67
2024-04-19 19:35:15,37.0,36.1,94.2,19.5
2024-04-19 19:35:30,61.5,54.1,148,30.8
2024-04-19 19:35:45,86.0,77.0,209,45.1
2024-04-19 19:36:00,92.1,78.5,220,49.3
2024-04-19 19:36:15,92.0,77.9,221,52.1
2024-04-19 19:36:30,91.3,78.3,225,54.9
2024-04-19 19:36:45,91.3,78.7,224,55.2
2024-04-19 19:37:00,90.9,80.9,226,55.8
2024-04-19 19:37:15,91.1,83.8,228,54.1
2024-04-19 19:37:30,89.1,81.2,223,51.2
2024-04-19 19:37:45,89.9,86.5,224,48.8
2024-04-19 19:38:00,89.4,87.9,224,47.4
2024-04-19 19:38:15,86.7,85.4,223,50.2
2024-04-19 19:38:30,86.8,86.9,228,53.3
2024-04-19 19:38:45,88.9,87.6,232,56.1
2024-04-19 19:39:00,80.4,75.4,208,49.4
