"Time","All machines","machine69","machine70","machine77"
2024-04-19 19:35:00,44162545,38187737,5904948,69860
2024-04-19 19:35:15,44162545,38187737,5904948,69860
2024-04-19 19:35:30,44162565,38187757,5904948,69860
2024-04-19 19:35:45,44162565,38187757,5904948,69860
2024-04-19 19:36:00,44162566,38187758,5904948,69860
2024-04-19 19:36:15,44162566,38187758,5904948,69860
2024-04-19 19:36:30,27798536,21823728,5904948,69860
2024-04-19 19:36:45,27798536,21823728,5904948,69860
2024-04-19 19:37:00,27798622,21823810,5904948,69860
2024-04-19 19:37:15,27798673,21823865,5904948,69860
2024-04-19 19:37:30,27798829,21824021,5904948,69860
2024-04-19 19:37:45,27799065,21824257,5904948,69860
2024-04-19 19:38:00,27799232,21824434,5904948,69860
2024-04-19 19:38:15,27799476,21824653,5904948,69860
2024-04-19 19:38:30,27799699,21824891,5904948,69860
2024-04-19 19:38:45,27800101,21825287,5904948,69860
2024-04-19 19:39:00,27800493,21825685,5904948,69860
