"Time","Total","Peers","Orderers","Couchdb"
2024-04-19 19:35:00,659189009,299144930,180021020,180023059
2024-04-19 19:35:15,659196233,299146627,180022571,180027035
2024-04-19 19:35:30,659201767,299148270,180023658,180029839
2024-04-19 19:35:45,659209109,299150088,180025198,180033823
2024-04-19 19:36:00,659215056,299151564,180026251,180037241
2024-04-19 19:36:15,659221180,299153108,180027495,180040577
2024-04-19 19:36:30,476535946,238257937,119131738,119146271
2024-04-19 19:36:45,476543025,238259626,119133094,119150305
2024-04-19 19:37:00,476548875,238261413,119134513,119152949
2024-04-19 19:37:15,476555172,238263067,119135911,119156194
2024-04-19 19:37:30,476561746,238264656,119136890,119160200
2024-04-19 19:37:45,476567466,238266182,119138463,119162821
2024-04-19 19:38:00,476574359,238268224,119139826,119166309
2024-04-19 19:38:15,476580948,238269659,119141145,119170144
2024-04-19 19:38:30,476587614,238271739,119142342,119173533
2024-04-19 19:38:45,476593072,238273155,119143520,119176397
2024-04-19 19:39:00,476597085,238274306,119144379,119178400
