"Time","All machines","machine69","machine70","machine77"
2024-04-19 19:35:00,0.813,0.343,0.219,0.255
2024-04-19 19:35:15,0.917,0.370,0.251,0.285
2024-04-19 19:35:30,1.00,0.407,0.279,0.322
2024-04-19 19:35:45,1.04,0.407,0.284,0.343
2024-04-19 19:36:00,1.12,0.441,0.315,0.375
2024-04-19 19:36:15,1.21,0.468,0.346,0.403
2024-04-19 19:36:30,1.08,0.348,0.345,0.389
2024-04-19 19:36:45,1.18,0.377,0.379,0.426
2024-04-19 19:37:00,1.29,0.416,0.409,0.466
2024-04-19 19:37:15,1.32,0.416,0.414,0.479
2024-04-19 19:37:30,1.40,0.439,0.450,0.510
2024-04-19 19:37:45,1.51,0.466,0.483,0.551
2024-04-19 19:38:00,1.52,0.472,0.497,0.549
2024-04-19 19:38:15,1.62,0.488,0.538,0.589
2024-04-19 19:38:30,1.72,0.513,0.568,0.633
2024-04-19 19:38:45,1.71,0.514,0.576,0.629
2024-04-19 19:39:00,1.73,0.524,0.570,0.630
