"Time","Total","Peers","Orderers","Couchsdb"
2024-04-19 19:35:00,87512,71745,12734,3033
2024-04-19 19:35:15,195389,157948,28759,8683
2024-04-19 19:35:30,310329,252509,43937,13883
2024-04-19 19:35:45,417754,338909,59428,19417
2024-04-19 19:36:00,428196,347259,61039,19898
2024-04-19 19:36:15,428795,347937,60866,19993
2024-04-19 19:36:30,430401,350054,60463,19884
2024-04-19 19:36:45,426017,346261,59864,19892
2024-04-19 19:37:00,428605,348622,60242,19741
2024-04-19 19:37:15,427133,346614,60346,20173
2024-04-19 19:37:30,422490,341930,60238,20321
2024-04-19 19:37:45,429406,348671,60624,20111
2024-04-19 19:38:00,425988,345306,60321,20361
2024-04-19 19:38:15,424100,344245,59718,20136
2024-04-19 19:38:30,426247,346700,59442,20105
2024-04-19 19:38:45,423241,343771,59154,20316
2024-04-19 19:39:00,377131,306826,52286,18019
