"Time","Total","Peers","Orderers","Couchsdb"
2024-04-19 19:35:00,4.24,2.12,1.06,1.06
2024-04-19 19:35:15,6.37,3.18,2.11,1.08
2024-04-19 19:35:30,2.08,1.03,1.05,0
2024-04-19 19:35:45,3.14,1.05,2.10,0
2024-04-19 19:36:00,6.39,2.10,3.26,1.03
2024-04-19 19:36:15,9.50,2.15,3.14,4.21
2024-04-19 19:36:30,9.45,2.12,3.13,4.20
2024-04-19 19:36:45,7.44,3.14,1.10,3.19
2024-04-19 19:37:00,12.7,4.21,2.18,6.27
2024-04-19 19:37:15,10.5,4.22,3.14,3.15
2024-04-19 19:37:30,21.0,5.26,4.27,11.5
2024-04-19 19:37:45,21.1,3.12,5.28,12.7
2024-04-19 19:38:00,17.0,3.25,3.16,10.6
2024-04-19 19:38:15,11.5,3.12,3.17,5.22
2024-04-19 19:38:30,29.1,9.31,15.6,4.21
2024-04-19 19:38:45,28.5,9.45,14.8,4.25
2024-04-19 19:39:00,29.4,8.42,14.6,6.37
