"Time","machine69","machine70","Total","machine77"
2024-08-01 15:31:30,0,0,767,252
2024-08-01 15:31:45,0,275,548,304
2024-08-01 15:32:00,0,283,866,304
2024-08-01 15:32:15,0,406,1126,416
2024-08-01 15:32:30,0,543,1372,417
2024-08-01 15:32:45,0,504,1614,564
2024-08-01 15:33:00,0,574,1627,564
2024-08-01 15:33:15,0.00905,502,1642,555
2024-08-01 15:33:30,0,556,1656,555
2024-08-01 15:33:45,0,551,1663,556
2024-08-01 15:34:00,0,565,1694,556
2024-08-01 15:34:15,0.00211,560,1729,583
2024-08-01 15:34:30,,596,1790,586
2024-08-01 15:34:45,0,349,1824,627
2024-08-01 15:35:00,0,599,1807,627
2024-08-01 15:35:15,0,507,1802,605
2024-08-01 15:35:30,,612,1771,603
2024-08-01 15:35:45,,411,1736,613
2024-08-01 15:36:00,0,585,1683,613
2024-08-01 15:36:15,0.830,186,1084,0
2024-08-01 15:36:30,,313,1049,0.175
2024-08-01 15:36:45,,248,772,0
2024-08-01 15:37:00,0,282,546,0.000904
