"Time","All machines","machine69","machine70","machine77"
2024-08-01 15:31:30,0.000496,0.000168,0.000164,0.000164
2024-08-01 15:31:45,0.000496,0.000168,0.000164,0.000164
2024-08-01 15:32:00,0.000580,0.000168,0.000164,0.000164
2024-08-01 15:32:15,0.000626,0.000168,0.000164,0.000210
2024-08-01 15:32:30,0.000626,0.000206,0.000210,0.000210
2024-08-01 15:32:45,0.000626,0.000206,0.000210,0.000210
2024-08-01 15:33:00,0.00321,0.000206,0.000210,0.000210
2024-08-01 15:33:15,0.00321,0.000206,0.00107,0.00107
2024-08-01 15:33:30,0.00321,0.00108,0.00107,0.00107
2024-08-01 15:33:45,0.00321,0.00108,0.00107,0.00107
2024-08-01 15:34:00,0.00408,0.00108,0.00107,0.00107
2024-08-01 15:34:15,0.00579,0.00108,0.00192,0.00192
2024-08-01 15:34:30,0.00579,0.00195,0.00192,0.00192
2024-08-01 15:34:45,0.00579,0.00195,0.00192,0.00192
2024-08-01 15:35:00,0.00837,0.00195,0.00192,0.00192
2024-08-01 15:35:15,0.00837,0.00195,0.00278,0.00278
2024-08-01 15:35:30,0.00837,0.00281,0.00278,0.00278
2024-08-01 15:35:45,0.00837,0.00281,0.00278,0.00278
2024-08-01 15:36:00,0.00921,0.00281,0.00278,0.00278
2024-08-01 15:36:15,0.00921,0.00281,0.00278,0.00278
2024-08-01 15:36:30,0.0109,0.00365,0.00360,0.00278
2024-08-01 15:36:45,0.0109,0.00365,0.00360,0.00360
2024-08-01 15:37:00,0.0109,0.00365,0.00360,0.00360
