"Time","Total","Peers","Orderers"
2024-08-04 14:57:00,3.86,3.18,0.680
2024-08-04 14:57:15,6.62,4.40,2.22
2024-08-04 14:57:30,32.3,26.8,5.50
2024-08-04 14:57:45,48.2,38.5,9.70
2024-08-04 14:58:00,72.8,60.1,12.7
2024-08-04 14:58:15,74.1,60.9,13.1
2024-08-04 14:58:30,73.5,60.7,12.8
2024-08-04 14:58:45,73.0,59.9,13.2
2024-08-04 14:59:00,74.3,60.8,13.4
2024-08-04 14:59:15,75.6,61.7,13.9
2024-08-04 14:59:30,76.4,62.3,14.1
2024-08-04 14:59:45,75.8,61.9,13.8
2024-08-04 15:00:00,75.2,61.5,13.7
2024-08-04 15:00:15,75.9,62.3,13.6
2024-08-04 15:00:30,78.1,63.9,14.2
2024-08-04 15:00:45,78.9,64.4,14.6
2024-08-04 15:01:00,78.7,64.1,14.6
2024-08-04 15:01:15,78.3,64.6,13.7
2024-08-04 15:01:30,50.7,40.8,9.90
2024-08-04 15:01:45,34.4,29.0,5.40
2024-08-04 15:02:00,5.96,4.44,1.52
