"Time","machine69","machine70","All Machines","machine77"
2024-08-04 14:57:00,0.360,0.188,0.735,0.188
2024-08-04 14:57:15,0.360,0.188,0.736,0.188
2024-08-04 14:57:30,0.360,0.188,0.736,0.188
2024-08-04 14:57:45,0.360,0.188,0.736,0.188
2024-08-04 14:58:00,0.360,0.188,0.736,0.188
2024-08-04 14:58:15,0.360,0.188,0.743,0.188
2024-08-04 14:58:30,0.363,0.190,0.743,0.188
2024-08-04 14:58:45,0.363,0.190,0.743,0.190
2024-08-04 14:59:00,0.363,0.190,0.743,0.190
2024-08-04 14:59:15,0.363,0.192,0.750,0.190
2024-08-04 14:59:30,0.367,0.192,0.750,0.190
2024-08-04 14:59:45,0.367,0.192,0.750,0.192
2024-08-04 15:00:00,0.367,0.192,0.750,0.192
2024-08-04 15:00:15,0.367,0.194,0.758,0.192
2024-08-04 15:00:30,0.370,0.194,0.758,0.192
2024-08-04 15:00:45,0.370,0.194,0.758,0.194
2024-08-04 15:01:00,0.370,0.194,0.758,0.194
2024-08-04 15:01:15,0.370,0.195,0.765,0.194
2024-08-04 15:01:30,0.374,0.196,0.765,0.194
2024-08-04 15:01:45,0.374,0.196,0.765,0.196
2024-08-04 15:02:00,0.374,0.196,0.765,0.196
