"Time","Total","Peers","Orderers"
2024-08-04 14:57:00,0.626,0.131,0.000562
2024-08-04 14:57:15,0.626,0.131,0.000675
2024-08-04 14:57:30,0.626,0.131,0.000675
2024-08-04 14:57:45,0.626,0.131,0.000675
2024-08-04 14:58:00,0.626,0.131,0.000675
2024-08-04 14:58:15,0.632,0.136,0.00235
2024-08-04 14:58:30,0.632,0.136,0.00235
2024-08-04 14:58:45,0.632,0.136,0.00235
2024-08-04 14:59:00,0.632,0.136,0.00235
2024-08-04 14:59:15,0.638,0.140,0.00402
2024-08-04 14:59:30,0.638,0.140,0.00402
2024-08-04 14:59:45,0.638,0.140,0.00402
2024-08-04 15:00:00,0.638,0.140,0.00402
2024-08-04 15:00:15,0.645,0.145,0.00568
2024-08-04 15:00:30,0.645,0.145,0.00568
2024-08-04 15:00:45,0.645,0.145,0.00568
2024-08-04 15:01:00,0.645,0.145,0.00568
2024-08-04 15:01:15,0.651,0.149,0.00716
2024-08-04 15:01:30,0.651,0.149,0.00727
2024-08-04 15:01:45,0.651,0.149,0.00727
2024-08-04 15:02:00,0.651,0.149,0.00727
