"Time","All machines","machine69","machine70","machine77"
2024-08-04 14:57:00,4.01,1.59,1.16,1.18
2024-08-04 14:57:15,4.18,1.59,1.27,1.26
2024-08-04 14:57:30,4.30,1.67,1.33,1.26
2024-08-04 14:57:45,4.28,1.67,1.34,1.38
2024-08-04 14:58:00,4.41,1.67,1.36,1.38
2024-08-04 14:58:15,4.40,1.67,1.40,1.38
2024-08-04 14:58:30,4.56,1.79,1.42,1.38
2024-08-04 14:58:45,4.82,1.79,1.44,1.46
2024-08-04 14:59:00,4.69,1.79,1.45,1.46
2024-08-04 14:59:15,4.87,1.79,1.53,1.49
2024-08-04 14:59:30,4.77,1.87,1.53,1.49
2024-08-04 14:59:45,5.02,1.87,1.56,1.51
2024-08-04 15:00:00,5.00,1.87,1.57,1.51
2024-08-04 15:00:15,5.09,1.87,1.61,1.58
2024-08-04 15:00:30,5.17,1.96,1.61,1.58
2024-08-04 15:00:45,5.37,1.96,1.64,1.66
2024-08-04 15:01:00,5.27,1.96,1.57,1.66
2024-08-04 15:01:15,5.33,1.96,1.63,1.68
2024-08-04 15:01:30,5.27,2.04,1.64,1.68
2024-08-04 15:01:45,5.42,2.04,1.67,1.68
2024-08-04 15:02:00,5.49,2.04,1.67,1.68
