"Time","Total","Peers","Orderers"
2024-08-01 17:05:00,0.707,0.154,0.000648
2024-08-01 17:05:15,0.707,0.154,0.000648
2024-08-01 17:05:30,0.707,0.154,0.000648
2024-08-01 17:05:45,0.707,0.154,0.000648
2024-08-01 17:06:00,0.713,0.158,0.00216
2024-08-01 17:06:15,0.713,0.158,0.00216
2024-08-01 17:06:30,0.713,0.158,0.00216
2024-08-01 17:06:45,0.713,0.158,0.00216
2024-08-01 17:07:00,0.721,0.163,0.00411
2024-08-01 17:07:15,0.721,0.163,0.00411
2024-08-01 17:07:30,0.721,0.163,0.00411
2024-08-01 17:07:45,0.721,0.163,0.00411
2024-08-01 17:08:00,0.728,0.169,0.00608
2024-08-01 17:08:15,0.728,0.169,0.00608
2024-08-01 17:08:30,0.728,0.169,0.00608
2024-08-01 17:08:45,0.728,0.169,0.00608
2024-08-01 17:09:00,0.735,0.174,0.00805
2024-08-01 17:09:15,0.735,0.174,0.00805
2024-08-01 17:09:30,0.735,0.174,0.00805
2024-08-01 17:09:45,0.735,0.174,0.00805
2024-08-01 17:10:00,0.737,0.175,0.00853
