"Time","All machines","machine69","machine70","machine77"
2024-08-01 17:05:00,0,,0,0
2024-08-01 17:05:15,0,,0,0
2024-08-01 17:05:30,3.17,,0,0
2024-08-01 17:05:45,14.1,,0,0
2024-08-01 17:06:00,14.9,,0,0
2024-08-01 17:06:15,15.3,0,0,0
2024-08-01 17:06:30,12.9,,14.8,0
2024-08-01 17:06:45,7.02,,0,0
2024-08-01 17:07:00,336,0,0,0
2024-08-01 17:07:15,322,,0,0
2024-08-01 17:07:30,571,,0,0
2024-08-01 17:07:45,209,0,0,0
2024-08-01 17:08:00,234,0,0,0
2024-08-01 17:08:15,4.21,0,0,1.38
2024-08-01 17:08:30,3.43,,0,1.88
2024-08-01 17:08:45,2.30,,2.02,6.62
2024-08-01 17:09:00,1.20,,3.03,8.11
2024-08-01 17:09:15,2.25,,4.04,0
2024-08-01 17:09:30,2.33,,,0
2024-08-01 17:09:45,81.6,,0,4.11
2024-08-01 17:10:00,84.9,,0,3.17
