"Time","orderers","peers","Total"
2024-08-01 00:21:00,0.385,11.8,11.8
2024-08-01 00:21:15,0.386,12.1,12.1
2024-08-01 00:21:30,0.392,11.9,11.9
2024-08-01 00:21:45,0.392,12.8,12.8
2024-08-01 00:22:00,0.392,13.2,13.2
2024-08-01 00:22:15,0.405,12.9,12.9
2024-08-01 00:22:30,0.405,12.9,12.9
2024-08-01 00:22:45,0.417,13.1,13.1
2024-08-01 00:23:00,0.417,12.7,12.7
2024-08-01 00:23:15,0.417,12.3,12.3
2024-08-01 00:23:30,0.417,13.0,13.0
2024-08-01 00:23:45,0.417,12.7,12.7
2024-08-01 00:24:00,0.423,12.8,12.8
2024-08-01 00:24:15,0.423,13.1,13.1
2024-08-01 00:24:30,0.423,13.1,13.1
2024-08-01 00:24:45,0.423,13.3,13.3
2024-08-01 00:25:00,0.424,12.7,12.7
2024-08-01 00:25:15,0.424,12.9,12.9
2024-08-01 00:25:30,0.424,12.7,12.7
2024-08-01 00:25:45,0.424,13.3,13.3
2024-08-01 00:26:00,0.424,13.3,13.3
2024-08-01 00:26:15,0.424,14.7,14.7
2024-08-01 00:26:30,0.424,14.4,14.4
2024-08-01 00:26:45,0.424,13.6,13.6
2024-08-01 00:27:00,0.424,13.5,13.5
