"Time","machine69","machine70","All Machines","machine77"
2024-08-03 20:56:45,0.605,0.314,0.617,0.157
2024-08-03 20:57:00,0.605,0.314,0.617,0.157
2024-08-03 20:57:15,0.605,0.315,0.618,0.157
2024-08-03 20:57:30,0.606,0.315,0.618,0.157
2024-08-03 20:57:45,0.606,0.315,0.618,0.157
2024-08-03 20:58:00,0.606,0.315,0.618,0.157
2024-08-03 20:58:15,0.606,0.318,0.624,0.159
2024-08-03 20:58:30,0.612,0.318,0.624,0.159
2024-08-03 20:58:45,0.612,0.318,0.624,0.159
2024-08-03 20:59:00,0.612,0.318,0.624,0.159
2024-08-03 20:59:15,0.612,0.318,0.630,0.161
2024-08-03 20:59:30,0.618,0.321,0.630,0.161
2024-08-03 20:59:45,0.618,0.321,0.630,0.161
2024-08-03 21:00:00,0.618,0.321,0.630,0.161
2024-08-03 21:00:15,0.618,0.325,0.637,0.162
2024-08-03 21:00:30,0.624,0.325,0.637,0.162
2024-08-03 21:00:45,0.624,0.325,0.637,0.162
2024-08-03 21:01:00,0.624,0.325,0.637,0.162
2024-08-03 21:01:15,0.624,0.325,0.642,0.164
2024-08-03 21:01:30,0.629,0.328,0.642,0.164
2024-08-03 21:01:45,0.629,0.328,0.642,0.164
2024-08-03 21:02:00,0.629,0.328,0.642,0.164
2024-08-03 21:02:15,0.629,0.328,0.642,0.164
2024-08-03 21:02:30,0.629,0.328,0.642,0.164
