"Time","All machines","machine69","machine70","machine77"
2024-08-03 21:44:30,11.9,9.77,7.06,7.29
2024-08-03 21:44:45,12.4,9.77,7.44,7.40
2024-08-03 21:45:00,12.7,9.77,7.70,7.40
2024-08-03 21:45:15,12.9,9.77,7.40,8.14
2024-08-03 21:45:30,13.4,10.3,7.48,8.14
2024-08-03 21:45:45,13.5,10.3,8.40,8.25
2024-08-03 21:46:00,14.0,10.3,8.50,8.25
2024-08-03 21:46:15,13.7,10.3,8.60,8.67
2024-08-03 21:46:30,14.6,11.2,8.63,8.67
2024-08-03 21:46:45,14.1,11.2,8.96,8.31
2024-08-03 21:47:00,14.7,11.2,9.06,8.31
2024-08-03 21:47:15,14.7,11.2,9.24,9.30
2024-08-03 21:47:30,14.9,11.4,9.31,9.30
2024-08-03 21:47:45,15.5,11.4,9.44,9.41
2024-08-03 21:48:00,15.3,11.4,9.21,9.41
2024-08-03 21:48:15,15.9,11.4,9.61,9.64
2024-08-03 21:48:30,15.9,12.1,9.72,9.64
2024-08-03 21:48:45,16.1,12.1,10.2,10.0
2024-08-03 21:49:00,15.9,12.1,10.2,10.0
2024-08-03 21:49:15,16.3,12.1,10.1,9.87
2024-08-03 21:49:30,16.0,12.1,10.1,9.87
