"Time","All machines","machine70","machine77"
2024-08-04 11:18:00,14.5,2.94,0
2024-08-04 11:18:15,14.8,0,0
2024-08-04 11:18:30,14.3,0,0
2024-08-04 11:18:45,3.13,0,0
2024-08-04 11:19:00,3.46,0,0
2024-08-04 11:19:15,32.3,21.5,0
2024-08-04 11:19:30,121,32.4,0
2024-08-04 11:19:45,135,60.7,0
2024-08-04 11:20:00,153,65.8,0
2024-08-04 11:20:15,11.5,10.0,0
2024-08-04 11:20:30,475,0,0
2024-08-04 11:20:45,551,0,0
2024-08-04 11:21:00,574,0,0
2024-08-04 11:21:15,200,0,0
2024-08-04 11:21:30,71.9,0,0
2024-08-04 11:21:45,144,0,0
2024-08-04 11:22:00,104,0,0
2024-08-04 11:22:15,102,0,0
2024-08-04 11:22:30,111,0,0
2024-08-04 11:22:45,104,0,0
2024-08-04 11:23:00,89.1,0,0
